model	fold	auroc	auprc	accuracy	f1
logreg	1	0.6632874718947657	0.5059730567628447	0.626611655492522	0.46449704142011833
logreg	2	0.6559236378154616	0.5034613940193446	0.6137184115523465	0.4623115577889447
logreg	3	0.6692474604962432	0.4945766371307921	0.6233230134158927	0.4616519174041298
logreg	4	0.6584980226764641	0.48163690966815564	0.6166150670794633	0.4596363636363636
logreg	5	0.653739579386131	0.4791586434773816	0.6109391124871001	0.4512372634643377
rf	1	0.7691450492760932	0.6258380387727372	0.777720474471377	0.48994082840236686
rf	2	0.7843520824140034	0.6487453949659592	0.7720474471376998	0.47129186602870815
rf	3	0.7883895820217985	0.6481001548690946	0.7848297213622291	0.505338078291815
rf	4	0.7713756625578115	0.624042193508571	0.7755417956656346	0.48520710059171596
rf	5	0.7720168361332155	0.6277954981751261	0.7801857585139319	0.5011709601873536
